,TicketID,CustomerID,IssueType,ResolutionTime,Status
147,CMP1989-PRJHP2,1989-PRJHP,Service,8,Closed
148,CMP6993-OHLXR1,6993-OHLXR,Service,15,Closed
149,CMP8818-XYFCQ1,8818-XYFCQ,Internet,15,Closed
150,CMP8818-XYFCQ2,8818-XYFCQ,Internet,11,Closed
151,CMP3863-IUBJR1,3863-IUBJR,Billing,9,Closed
152,CMP4822-RVYBB1,4822-RVYBB,Service,11,Closed
153,CMP4822-RVYBB2,4822-RVYBB,Billing,15,Open
154,CMP4184-TJFAN1,4184-TJFAN,Billing,13,Closed
155,CMP4184-TJFAN2,4184-TJFAN,Service,13,Closed
156,CMP4145-UQXUQ1,4145-UQXUQ,Internet,15,Closed
157,CMP4145-UQXUQ2,4145-UQXUQ,Billing,10,Closed
158,CMP1236-WFCDV1,1236-WFCDV,Service,15,Closed
159,CMP1236-WFCDV2,1236-WFCDV,Service,10,Closed
160,CMP4883-QICIH1,4883-QICIH,Service,9,Closed
161,CMP4883-QICIH2,4883-QICIH,Service,8,Closed
162,CMP5669-SRAIP1,5669-SRAIP,Service,13,Closed
163,CMP5669-SRAIP2,5669-SRAIP,Billing,14,Closed
164,CMP6941-PMGEP1,6941-PMGEP,Service,13,Closed
165,CMP6941-PMGEP2,6941-PMGEP,Internet,12,Closed
166,CMP2074-GKOWZ1,2074-GKOWZ,Internet,11,Open
167,CMP2074-GKOWZ2,2074-GKOWZ,Service,13,Closed
168,CMP4361-BKAXE1,4361-BKAXE,Billing,13,Closed
169,CMP7029-RPUAV1,7029-RPUAV,Billing,14,Closed
170,CMP7029-RPUAV2,7029-RPUAV,Billing,15,Closed
171,CMP9763-PDTKK1,9763-PDTKK,Service,14,Open
172,CMP9763-PDTKK2,9763-PDTKK,Service,13,Closed
173,CMP0927-LCSMG1,0927-LCSMG,Service,5,Open
174,CMP0927-LCSMG2,0927-LCSMG,Internet,5,Closed
175,CMP8257-RZAHR1,8257-RZAHR,Billing,9,Closed
176,CMP8257-RZAHR2,8257-RZAHR,Internet,8,Closed
177,CMP7851-WZEKY1,7851-WZEKY,Service,15,Closed
178,CMP7851-WZEKY2,7851-WZEKY,Service,13,Closed
179,CMP8844-TONUD1,8844-TONUD,Billing,14,Closed
180,CMP8844-TONUD2,8844-TONUD,Service,12,Closed
181,CMP4086-YQSNZ1,4086-YQSNZ,Internet,15,Closed
182,CMP0125-LZQXK1,0125-LZQXK,Internet,11,Closed
183,CMP0125-LZQXK2,0125-LZQXK,Service,10,Closed
184,CMP8399-YNDCH1,8399-YNDCH,Service,9,Closed
185,CMP8399-YNDCH2,8399-YNDCH,Billing,8,Open
186,CMP5673-FSSMF1,5673-FSSMF,Billing,11,Closed
187,CMP6358-LYNGM1,6358-LYNGM,Service,12,Closed
188,CMP9824-BEMCV1,9824-BEMCV,Service,9,Open
189,CMP9866-QEVEE1,9866-QEVEE,Service,11,Open
190,CMP1689-MRZQR1,1689-MRZQR,Service,7,Closed
191,CMP1689-MRZQR2,1689-MRZQR,Service,9,Closed
192,CMP5565-FILXA1,5565-FILXA,Billing,10,Closed
193,CMP5565-FILXA2,5565-FILXA,Service,13,Closed
194,CMP2833-SLKDQ1,2833-SLKDQ,Service,10,Closed
195,CMP2408-TZMJL1,2408-TZMJL,Billing,12,Closed
196,CMP8519-IMDHU1,8519-IMDHU,Billing,14,Open
197,CMP0201-OAMXR1,0201-OAMXR,Internet,15,Closed
198,CMP0201-OAMXR2,0201-OAMXR,Billing,14,Closed
199,CMP3372-KWFBM1,3372-KWFBM,Billing,14,Closed
200,CMP6599-RCLCJ1,6599-RCLCJ,Billing,11,Closed
201,CMP6599-RCLCJ2,6599-RCLCJ,Internet,13,Closed
202,CMP1725-MIMXW1,1725-MIMXW,Internet,14,Closed
203,CMP7206-GZCDC1,7206-GZCDC,Service,11,Closed
204,CMP7206-GZCDC2,7206-GZCDC,Service,11,Closed
205,CMP4791-QRGMF1,4791-QRGMF,Billing,11,Closed
206,CMP1768-ZAIFU1,1768-ZAIFU,Billing,13,Closed
207,CMP1768-ZAIFU2,1768-ZAIFU,Service,12,Open
208,CMP4671-LXRDQ1,4671-LXRDQ,Internet,15,Closed
209,CMP4671-LXRDQ2,4671-LXRDQ,Service,12,Closed
210,CMP9269-CQOOL1,9269-CQOOL,Service,10,Closed
211,CMP2845-HSJCY1,2845-HSJCY,Service,10,Closed
212,CMP2845-HSJCY2,2845-HSJCY,Service,15,Closed
213,CMP9415-DPEWS1,9415-DPEWS,Service,15,Closed
214,CMP3793-MMFUH1,3793-MMFUH,Billing,11,Closed
215,CMP3249-ZPQRG1,3249-ZPQRG,Billing,10,Closed
216,CMP3249-ZPQRG2,3249-ZPQRG,Billing,14,Closed
217,CMP8621-MNIHH1,8621-MNIHH,Billing,11,Open
218,CMP5419-CONWX1,5419-CONWX,Internet,13,Open
219,CMP5419-CONWX2,5419-CONWX,Billing,11,Open
220,CMP6240-EURKS1,6240-EURKS,Service,5,Closed
221,CMP6240-EURKS2,6240-EURKS,Billing,9,Open
222,CMP7024-OHCCK1,7024-OHCCK,Billing,14,Closed
223,CMP7861-UVUFT1,7861-UVUFT,Billing,10,Open
224,CMP5357-TZHPP1,5357-TZHPP,Service,10,Closed
225,CMP7767-UXAGJ1,7767-UXAGJ,Internet,11,Closed
226,CMP1571-SAVHK1,1571-SAVHK,Billing,15,Closed
227,CMP1571-SAVHK2,1571-SAVHK,Billing,12,Closed
228,CMP2951-QOQTK1,2951-QOQTK,Internet,13,Open
229,CMP2951-QOQTK2,2951-QOQTK,Service,10,Closed
230,CMP3473-XIIIT1,3473-XIIIT,Service,11,Open
231,CMP3473-XIIIT2,3473-XIIIT,Billing,15,Closed
232,CMP2952-QAYZF1,2952-QAYZF,Billing,10,Closed
233,CMP2952-QAYZF2,2952-QAYZF,Billing,12,Open
234,CMP4763-PGDPO1,4763-PGDPO,Service,14,Closed
235,CMP5394-SVGJV1,5394-SVGJV,Billing,14,Closed
236,CMP5394-SVGJV2,5394-SVGJV,Billing,15,Closed
237,CMP5469-CTCWN1,5469-CTCWN,Billing,10,Closed
238,CMP5469-CTCWN2,5469-CTCWN,Billing,10,Closed
239,CMP5240-IJOQT1,5240-IJOQT,Billing,14,Closed
240,CMP5240-IJOQT2,5240-IJOQT,Internet,12,Open
241,CMP5766-XQXMQ1,5766-XQXMQ,Service,9,Closed
242,CMP5766-XQXMQ2,5766-XQXMQ,Service,9,Closed
243,CMP3703-VAVCL1,3703-VAVCL,Internet,10,Closed
244,CMP0330-IVZHA1,0330-IVZHA,Internet,11,Closed
245,CMP0330-IVZHA2,0330-IVZHA,Billing,15,Open
246,CMP9651-GTSAQ1,9651-GTSAQ,Billing,12,Closed
247,CMP3186-BAXNB1,3186-BAXNB,Service,12,Open
248,CMP2660-EMUBI1,2660-EMUBI,Billing,13,Closed
249,CMP2660-EMUBI2,2660-EMUBI,Service,13,Closed
250,CMP7675-OZCZG1,7675-OZCZG,Billing,10,Closed
251,CMP2003-CKLOR1,2003-CKLOR,Billing,15,Closed
252,CMP1205-WNWPJ1,1205-WNWPJ,Service,9,Closed
253,CMP8387-MOJJT1,8387-MOJJT,Internet,9,Closed
254,CMP2761-OCIAX1,2761-OCIAX,Service,13,Closed
255,CMP2761-OCIAX2,2761-OCIAX,Service,14,Closed
256,CMP3068-OMWZA1,3068-OMWZA,Billing,11,Open
257,CMP3068-OMWZA2,3068-OMWZA,Internet,15,Closed
258,CMP6032-KRXXO1,6032-KRXXO,Internet,12,Closed
259,CMP7459-RRWQZ1,7459-RRWQZ,Service,6,Open
260,CMP3092-IGHWF1,3092-IGHWF,Service,15,Closed
261,CMP8017-LXHFA1,8017-LXHFA,Service,12,Closed
262,CMP8017-LXHFA2,8017-LXHFA,Billing,13,Closed
263,CMP6352-TWCAU1,6352-TWCAU,Service,12,Closed
264,CMP6352-TWCAU2,6352-TWCAU,Internet,11,Closed
265,CMP2929-QNSRW1,2929-QNSRW,Billing,14,Open
266,CMP1262-OPMFY1,1262-OPMFY,Billing,5,Closed
267,CMP1262-OPMFY2,1262-OPMFY,Service,6,Closed
268,CMP5442-XSDCW1,5442-XSDCW,Service,9,Closed
269,CMP5442-XSDCW2,5442-XSDCW,Service,7,Open
270,CMP8580-AECUZ1,8580-AECUZ,Service,14,Open
271,CMP8580-AECUZ2,8580-AECUZ,Service,14,Closed
272,CMP4829-AUOAX1,4829-AUOAX,Billing,12,Closed
273,CMP5047-LHVLY1,5047-LHVLY,Billing,10,Closed
274,CMP5047-LHVLY2,5047-LHVLY,Internet,13,Closed
275,CMP8593-WHYHV1,8593-WHYHV,Billing,10,Closed
276,CMP6097-EQISJ1,6097-EQISJ,Billing,13,Closed
277,CMP6097-EQISJ2,6097-EQISJ,Billing,13,Closed
278,CMP4116-TZAQJ1,4116-TZAQJ,Billing,8,Closed
279,CMP4116-TZAQJ2,4116-TZAQJ,Billing,6,Closed
280,CMP3877-JRJIP1,3877-JRJIP,Billing,10,Closed
281,CMP3877-JRJIP2,3877-JRJIP,Billing,14,Closed
282,CMP8375-DKEBR1,8375-DKEBR,Service,10,Open
283,CMP7551-JOHTI1,7551-JOHTI,Internet,14,Open
284,CMP5318-IXUZF1,5318-IXUZF,Service,13,Closed
285,CMP3198-VELRD1,3198-VELRD,Billing,15,Closed
286,CMP7198-GLXTC1,7198-GLXTC,Billing,10,Closed
287,CMP5687-DKDTV1,5687-DKDTV,Billing,15,Closed
288,CMP5687-DKDTV2,5687-DKDTV,Service,13,Closed
289,CMP7530-HDYDS1,7530-HDYDS,Internet,12,Closed
290,CMP7530-HDYDS2,7530-HDYDS,Service,14,Closed
291,CMP5922-ABDVO1,5922-ABDVO,Billing,12,Open
292,CMP5922-ABDVO2,5922-ABDVO,Service,12,Open
293,CMP9172-ANCRX1,9172-ANCRX,Internet,15,Closed
294,CMP9172-ANCRX2,9172-ANCRX,Billing,15,Closed
295,CMP6910-HADCM1,6910-HADCM,Billing,13,Closed
296,CMP9606-PBKBQ1,9606-PBKBQ,Billing,11,Open
297,CMP3536-IQCTX1,3536-IQCTX,Internet,15,Closed
298,CMP4911-BANWH1,4911-BANWH,Billing,15,Open
299,CMP4911-BANWH2,4911-BANWH,Billing,14,Closed
300,CMP8496-EJAUI1,8496-EJAUI,Service,8,Closed
301,CMP3132-TVFDZ1,3132-TVFDZ,Internet,9,Closed
302,CMP3132-TVFDZ2,3132-TVFDZ,Service,8,Closed
303,CMP1349-WXNGG1,1349-WXNGG,Service,14,Closed
304,CMP1349-WXNGG2,1349-WXNGG,Internet,15,Closed
305,CMP1612-EOHDH1,1612-EOHDH,Billing,10,Closed
306,CMP6702-OHFWR1,6702-OHFWR,Billing,13,Closed
307,CMP6702-OHFWR2,6702-OHFWR,Service,12,Closed
308,CMP7517-SAWMO1,7517-SAWMO,Internet,7,Closed
309,CMP7054-LGEQW1,7054-LGEQW,Service,10,Closed
310,CMP7054-LGEQW2,7054-LGEQW,Service,12,Closed
311,CMP0923-PNFUB1,0923-PNFUB,Internet,15,Closed
312,CMP0923-PNFUB2,0923-PNFUB,Internet,13,Open
313,CMP4193-ORFCL1,4193-ORFCL,Internet,13,Closed
314,CMP4720-VSTSI1,4720-VSTSI,Service,15,Closed
315,CMP3946-MHCZW1,3946-MHCZW,Billing,14,Closed
316,CMP3946-MHCZW2,3946-MHCZW,Billing,13,Closed
317,CMP4566-GOLUK1,4566-GOLUK,Internet,10,Open
318,CMP2484-DGXPZ1,2484-DGXPZ,Billing,8,Closed
319,CMP2484-DGXPZ2,2484-DGXPZ,Service,5,Closed
320,CMP4587-NUKOX1,4587-NUKOX,Internet,11,Closed
321,CMP0420-BWTPW1,0420-BWTPW,Service,7,Closed
322,CMP0420-BWTPW2,0420-BWTPW,Internet,6,Open
323,CMP8183-ONMXC1,8183-ONMXC,Service,12,Closed
324,CMP9614-RMGHA1,9614-RMGHA,Billing,10,Closed
325,CMP9614-RMGHA2,9614-RMGHA,Service,14,Closed
326,CMP0565-IYCGT1,0565-IYCGT,Service,6,Closed
327,CMP0565-IYCGT2,0565-IYCGT,Internet,6,Closed
328,CMP5445-UTODQ1,5445-UTODQ,Billing,14,Closed
329,CMP5445-UTODQ2,5445-UTODQ,Billing,13,Closed
330,CMP9497-QCMMS1,9497-QCMMS,Internet,13,Closed
331,CMP9497-QCMMS2,9497-QCMMS,Service,12,Closed
332,CMP5419-KLXBN1,5419-KLXBN,Billing,13,Closed
333,CMP5419-KLXBN2,5419-KLXBN,Billing,12,Closed
334,CMP3424-NMNBO1,3424-NMNBO,Internet,12,Closed
335,CMP3424-NMNBO2,3424-NMNBO,Internet,10,Closed
336,CMP4514-GFCFI1,4514-GFCFI,Service,10,Open
337,CMP4514-GFCFI2,4514-GFCFI,Billing,11,Closed
338,CMP7615-ESMYF1,7615-ESMYF,Billing,14,Closed
339,CMP7615-ESMYF2,7615-ESMYF,Internet,11,Closed
340,CMP1447-PJGGA1,1447-PJGGA,Billing,12,Closed
341,CMP0224-HJAPT1,0224-HJAPT,Billing,11,Closed
342,CMP8086-OVPWV1,8086-OVPWV,Service,10,Closed
343,CMP8086-OVPWV2,8086-OVPWV,Service,13,Open
344,CMP9430-FRQOC1,9430-FRQOC,Billing,14,Closed
345,CMP9430-FRQOC2,9430-FRQOC,Billing,11,Closed
346,CMP3074-GQWYX1,3074-GQWYX,Service,11,Closed
347,CMP7694-VLBWQ1,7694-VLBWQ,Service,12,Closed
348,CMP4795-KTRTH1,4795-KTRTH,Billing,11,Closed
349,CMP6481-OGDOO1,6481-OGDOO,Billing,15,Closed
350,CMP6481-OGDOO2,6481-OGDOO,Service,11,Open
351,CMP3753-TSEMP1,3753-TSEMP,Service,10,Closed
352,CMP6173-ITPWD1,6173-ITPWD,Service,14,Closed
353,CMP2189-UXTKY1,2189-UXTKY,Internet,5,Open
354,CMP2189-UXTKY2,2189-UXTKY,Internet,9,Closed
355,CMP6356-ELRKD1,6356-ELRKD,Service,12,Open
356,CMP8624-GIOUT1,8624-GIOUT,Billing,6,Open
357,CMP8624-GIOUT2,8624-GIOUT,Billing,9,Closed
358,CMP3177-LASXD1,3177-LASXD,Service,15,Closed
359,CMP3177-LASXD2,3177-LASXD,Internet,11,Closed
360,CMP4897-QSUYC1,4897-QSUYC,Billing,11,Closed
361,CMP8290-YWKHZ1,8290-YWKHZ,Billing,13,Closed
362,CMP8290-YWKHZ2,8290-YWKHZ,Internet,13,Closed
363,CMP0761-AETCS1,0761-AETCS,Internet,12,Closed
364,CMP0761-AETCS2,0761-AETCS,Billing,15,Closed
365,CMP8945-MUQUF1,8945-MUQUF,Service,14,Closed
366,CMP8945-MUQUF2,8945-MUQUF,Internet,15,Closed
367,CMP4021-RQSNY1,4021-RQSNY,Service,12,Closed
368,CMP4021-RQSNY2,4021-RQSNY,Billing,11,Open
369,CMP8699-ASUFO1,8699-ASUFO,Service,7,Closed
370,CMP7927-AUXBZ1,7927-AUXBZ,Billing,12,Closed
371,CMP2514-GINMM1,2514-GINMM,Billing,15,Closed
372,CMP2514-GINMM2,2514-GINMM,Internet,10,Closed
373,CMP5931-FLJJF1,5931-FLJJF,Service,7,Closed
374,CMP5931-FLJJF2,5931-FLJJF,Service,7,Closed
375,CMP2659-VXMWZ1,2659-VXMWZ,Service,11,Closed
376,CMP8337-MSSXB1,8337-MSSXB,Internet,15,Closed
377,CMP8337-MSSXB2,8337-MSSXB,Billing,12,Open
378,CMP7181-BQYBV1,7181-BQYBV,Billing,12,Closed
379,CMP6204-IEUXJ1,6204-IEUXJ,Billing,14,Closed
380,CMP6204-IEUXJ2,6204-IEUXJ,Service,15,Closed
381,CMP2506-CLAKW1,2506-CLAKW,Billing,13,Closed
382,CMP2506-CLAKW2,2506-CLAKW,Internet,14,Closed
383,CMP7180-PISOG1,7180-PISOG,Service,13,Open
384,CMP7180-PISOG2,7180-PISOG,Billing,10,Open
385,CMP1587-FKLZB1,1587-FKLZB,Service,12,Closed
386,CMP6140-QNRQQ1,6140-QNRQQ,Service,15,Closed
387,CMP5440-FLBQG1,5440-FLBQG,Internet,10,Closed
388,CMP5440-FLBQG2,5440-FLBQG,Service,15,Closed
389,CMP7488-MXJIV1,7488-MXJIV,Billing,12,Closed
390,CMP2027-FECZV1,2027-FECZV,Service,14,Closed
391,CMP2027-FECZV2,2027-FECZV,Internet,10,Closed
392,CMP7377-DMMRI1,7377-DMMRI,Service,11,Closed
393,CMP7377-DMMRI2,7377-DMMRI,Service,10,Closed
394,CMP8949-JTMAY1,8949-JTMAY,Internet,11,Closed
395,CMP2774-LVQUS1,2774-LVQUS,Service,11,Closed
396,CMP2774-LVQUS2,2774-LVQUS,Service,14,Closed
397,CMP3211-ILJTT1,3211-ILJTT,Internet,9,Closed
398,CMP3211-ILJTT2,3211-ILJTT,Service,6,Closed
399,CMP4612-THJBS1,4612-THJBS,Internet,13,Closed
400,CMP0235-KGSLC1,0235-KGSLC,Billing,10,Closed
401,CMP5136-KCKGI1,5136-KCKGI,Billing,10,Closed
402,CMP2929-ERCFZ1,2929-ERCFZ,Service,12,Closed
403,CMP7548-SEPYI1,7548-SEPYI,Internet,13,Closed
404,CMP7548-SEPYI2,7548-SEPYI,Service,15,Closed
405,CMP8835-VSDSE1,8835-VSDSE,Internet,14,Closed
406,CMP8835-VSDSE2,8835-VSDSE,Service,15,Closed
407,CMP2519-FAKOD1,2519-FAKOD,Service,15,Closed
408,CMP2519-FAKOD2,2519-FAKOD,Billing,10,Closed
409,CMP5908-QMGOE1,5908-QMGOE,Billing,8,Closed
410,CMP5908-QMGOE2,5908-QMGOE,Billing,6,Open
411,CMP8481-YYXWG1,8481-YYXWG,Service,11,Closed
412,CMP8481-YYXWG2,8481-YYXWG,Billing,13,Closed
413,CMP1323-OOEPC1,1323-OOEPC,Billing,10,Closed
414,CMP0397-GZBBC1,0397-GZBBC,Billing,10,Closed
